11317596,54735,1
11317596,54735,3
11317596,54735,3
10696485,54735,5
10696485,54735,2
10696485,54735,4
11302937,54733,3
10833720,54733,3
1351054,54733,3
13024839,54733,4
12641339,54733,4
12604643,54733,4
12483510,54733,5
12284328,54733,2
12142554,54733,5
12110324,54733,4
11853578,54733,2
11639691,54733,1
11522980,54733,5
11473463,54733,2
11302937,54733,2
11173249,54733,4
10874917,54733,5
10798790,54733,4
1351054,54733,2
1347731,54733,1
1272241,54733,4
1174776,54733,4
12505678,54722,5
12505678,54722,3
10741574,54722,4
10741574,54722,2
13493346,54722,4
13493346,54722,3
13489972,54722,5
13489972,54722,2
12200378,54722,1
12200378,54722,2
13206699,54708,3
13437238,54700,2
13437238,54700,3
13437238,54700,5
13424446,54700,4
13424446,54700,2
13424446,54700,2
12290344,54700,1
12290344,54700,5
12290344,54700,3
1163032,54700,2
1163032,54700,3
1163032,54700,3
13357783,54700,3
13357783,54700,4
13357783,54700,4
13155683,54700,4
13155683,54700,4
13155683,54700,5
13151794,54700,2
13151794,54700,4
13151794,54700,5
13138047,54700,2
13138047,54700,2
13138047,54700,5
13116371,54700,5
13116371,54700,1
13116371,54700,2
13007229,54700,1
13007229,54700,1
13007229,54700,1
12883782,54700,4
12883782,54700,4
12883782,54700,3
12746118,54700,3
12746118,54700,2
12746118,54700,3
12660612,54700,3
12660612,54700,4
12660612,54700,4
12612023,54700,3
12612023,54700,4
12612023,54700,4
12441372,54700,4
12441372,54700,1
12441372,54700,3
12385149,54700,4
12385149,54700,5
12385149,54700,2
12349116,54700,1
12349116,54700,4
12349116,54700,2
12276676,54700,3
12276676,54700,5
12276676,54700,5
12231093,54700,4
12231093,54700,2
12231093,54700,2
12150685,54700,3
12150685,54700,1
12150685,54700,2
11510261,54700,2
11510261,54700,3
11510261,54700,1
11294547,54700,2
11294547,54700,5
11294547,54700,5
11164872,54700,1
11164872,54700,3
11164872,54700,2
1163032,54700,2
1163032,54700,1
1163032,54700,5
1152899,54700,4
1152899,54700,2
1152899,54700,2
1088560,54700,3
1088560,54700,2
1088560,54700,3
12150685,54696,5
10766504,54696,5
13490443,54696,3
13422713,54696,3
13251263,54696,1
13177089,54696,4
13013434,54696,3
12969054,54696,2
12793541,54696,5
12470637,54696,4
12232092,54696,4
12150685,54696,5
12644984,54694,5
12077299,54694,1
1065616,54694,3
12644984,54694,1
12077299,54694,5
11870818,54694,3
11639138,54694,2
11474397,54694,3
13490084,54692,5
13488990,54692,1
13438193,54692,3
13374097,54692,2
13307944,54692,2
13232961,54692,5
13178884,54692,4
13178884,54692,4
13156608,54692,1
12862829,54692,5
12564357,54692,4
12532277,54692,2
12484358,54692,1
12433737,54692,1
12240596,54692,4
11858844,54692,5
11858844,54692,5
11683924,54692,1
11536920,54692,5
11032020,54692,2
13493813,54692,4
13491801,54692,2
13491247,54692,1
13490360,54692,4
13489137,54692,3
13489073,54692,3
13452438,54692,3
13443312,54692,2
13402167,54692,4
13400169,54692,4
13400147,54692,2
13396766,54692,1
13389704,54692,1
13353854,54692,5
13332306,54692,2
13322145,54692,1
13283880,54692,1
13255177,54692,2
13233375,54692,2
13206699,54692,5
13193796,54692,2
13189566,54692,3
13178884,54692,4
13141321,54692,1
13082537,54692,4
13000263,54692,3
12939640,54692,2
12933303,54692,3
12931763,54692,1
12921363,54692,3
12906833,54692,4
12890692,54692,1
12871440,54692,3
12846581,54692,3
12827956,54692,5
12758427,54692,5
12735506,54692,4
12735298,54692,5
12713385,54692,4
12703693,54692,4
12648318,54692,4
12641375,54692,3
12626105,54692,2
12543585,54692,2
12539804,54692,5
12532277,54692,2
12518838,54692,1
12499122,54692,2
12489421,54692,1
12484358,54692,4
12447821,54692,5
12294760,54692,5
12271814,54692,5
12245262,54692,1
12238028,54692,5
12233154,54692,2
12207765,54692,5
12179746,54692,3
11867103,54692,3
11857168,54692,2
11634456,54692,5
11536920,54692,4
11392501,54692,3
11374002,54692,1
11362960,54692,1
11185014,54692,1
11112659,54692,4
11031893,54692,4
10854922,54692,1
10623498,54692,2
10574519,54692,2
12896487,54690,4
12896487,54690,2
12896487,54690,3
10654285,54690,1
10654285,54690,1
10654285,54690,4
13464023,54687,4
12154119,54682,3
12154119,54682,5
12154119,54682,2
23797,54682,4
23797,54682,5
23797,54682,2
13481555,54668,1
12209149,54668,4
13103269,54667,3
12969054,54667,2
13491925,54667,5
13486018,54667,2
